Snivy,1,Black &amp; White,Pokémon - Basic,Grass,Common
Zebstrika,42,Black &amp; White,Pokémon - Stage 1,Lightning,Uncommon
Zebstrika,43,Black &amp; White,Pokémon - Stage 1,Lightning,Rare
Joltik,44,Black &amp; White,Pokémon - Basic,Lightning,Common
Joltik,45,Black &amp; White,Pokémon - Basic,Lightning,Common
Galvantula,46,Black &amp; White,Pokémon - Stage 1,Lightning,Rare
Zekrom,47,Black &amp; White,Pokémon - Basic,Lightning,Rare Holo
Munna,48,Black &amp; White,Pokémon - Basic,Psychic,Uncommon
Musharna,49,Black &amp; White,Pokémon - Stage 1,Psychic,Rare
Woobat,50,Black &amp; White,Pokémon - Basic,Psychic,Common
Swoobat,51,Black &amp; White,Pokémon - Stage 1,Psychic,Uncommon
Venipede,52,Black &amp; White,Pokémon - Basic,Psychic,Common
Whirlipede,53,Black &amp; White,Pokémon - Stage 1,Psychic,Uncommon
Scolipede,54,Black &amp; White,Pokémon - Stage 2,Psychic,Rare
Solosis,55,Black &amp; White,Pokémon - Basic,Psychic,Common
Duosion,56,Black &amp; White,Pokémon - Stage 1,Psychic,Uncommon
Reuniclus,57,Black &amp; White,Pokémon - Stage 2,Psychic,Rare Holo
Timburr,58,Black &amp; White,Pokémon - Basic,Fighting,Common
Timburr,59,Black &amp; White,Pokémon - Basic,Fighting,Common
Gurdurr,60,Black &amp; White,Pokémon - Stage 1,Fighting,Uncommon
Throh,61,Black &amp; White,Pokémon - Basic,Fighting,Rare
Sawk,62,Black &amp; White,Pokémon - Basic,Fighting,Rare
Sandile,63,Black &amp; White,Pokémon - Basic,Fighting,Common
Krokorok,64,Black &amp; White,Pokémon - Stage 1,Fighting,Uncommon
Krookodile,65,Black &amp; White,Pokémon - Stage 2,Fighting,Rare Holo
Purrloin,66,Black &amp; White,Pokémon - Basic,Darkness,Common
Liepard,67,Black &amp; White,Pokémon - Stage 1,Darkness,Rare
Scraggy,68,Black &amp; White,Pokémon - Basic,Darkness,Common
Scrafty,69,Black &amp; White,Pokémon - Stage 1,Darkness,Rare
Zorua,70,Black &amp; White,Pokémon - Basic,Darkness,Common
Zoroark,71,Black &amp; White,Pokémon - Stage 1,Darkness,Rare Holo
Vullaby,72,Black &amp; White,Pokémon - Basic,Darkness,Uncommon
Mandibuzz,73,Black &amp; White,Pokémon - Stage 1,Darkness,Rare
Klink,74,Black &amp; White,Pokémon - Basic,Metal,Common
Klang,75,Black &amp; White,Pokémon - Stage 1,Metal,Uncommon
Klinklang,76,Black &amp; White,Pokémon - Stage 2,Metal,Rare Holo
Patrat,77,Black &amp; White,Pokémon - Basic,Colorless,Common
Patrat,78,Black &amp; White,Pokémon - Basic,Colorless,Common
Watchog,79,Black &amp; White,Pokémon - Stage 1,Colorless,Uncommon
Lillipup,80,Black &amp; White,Pokémon - Basic,Colorless,Common
Lillipup,81,Black &amp; White,Pokémon - Basic,Colorless,Common
Herdier,82,Black &amp; White,Pokémon - Stage 1,Colorless,Uncommon
Stoutland,83,Black &amp; White,Pokémon - Stage 2,Colorless,Rare
Pidove,84,Black &amp; White,Pokémon - Basic,Colorless,Common
Tranquill,85,Black &amp; White,Pokémon - Stage 1,Colorless,Uncommon
Unfezant,86,Black &amp; White,Pokémon - Stage 2,Colorless,Rare
Audino,87,Black &amp; White,Pokémon - Basic,Colorless,Uncommon
Minccino,88,Black &amp; White,Pokémon - Basic,Colorless,Common
Cinccino,89,Black &amp; White,Pokémon - Stage 1,Colorless,Rare
Bouffalant,90,Black &amp; White,Pokémon - Basic,Colorless,Uncommon
Bouffalant,91,Black &amp; White,Pokémon - Basic,Colorless,Rare
Energy Retrieval,92,Black &amp; White,Trainer - Item,n/a,Uncommon
Energy Search,93,Black &amp; White,Trainer - Item,n/a,Common
Energy Switch,94,Black &amp; White,Trainer - Item,n/a,Uncommon
Full Heal,95,Black &amp; White,Trainer - Item,n/a,Uncommon
PlusPower,96,Black &amp; White,Trainer - Item,n/a,Uncommon
Poké Ball,97,Black &amp; White,Trainer - Item,n/a,Uncommon
Pokédex,98,Black &amp; White,Trainer - Item,n/a,Uncommon
Pokémon Communication,99,Black &amp; White,Trainer - Item,n/a,Uncommon
Potion,100,Black &amp; White,Trainer - Item,n/a,Common
Professor Juniper,101,Black &amp; White,Trainer - Supporter,n/a,Uncommon
Revive,102,Black &amp; White,Trainer - Item,n/a,Uncommon
Super Scoop Up,103,Black &amp; White,Trainer - Item,n/a,Uncommon
Switch,104,Black &amp; White,Trainer - Item,n/a,Uncommon
Grass Energy,105,Black &amp; White,Energy - Basic Energy,n/a,Common
Fire Energy,106,Black &amp; White,Energy - Basic Energy,n/a,Common
Water Energy,107,Black &amp; White,Energy - Basic Energy,n/a,Common
Lightning Energy,108,Black &amp; White,Energy - Basic Energy,n/a,Common
Psychic Energy,109,Black &amp; White,Energy - Basic Energy,n/a,Common
Fighting Energy,110,Black &amp; White,Energy - Basic Energy,n/a,Common
Darkness Energy,111,Black &amp; White,Energy - Basic Energy,n/a,Common
Metal Energy,112,Black &amp; White,Energy - Basic Energy,n/a,Common
Reshiram,113,Black &amp; White,Pokémon - Basic,Fire,Ultra Rare
Zekrom,114,Black &amp; White,Pokémon - Basic,Lightning,Ultra Rare
