Snivy,BW01,Black &amp; White Promos,Pokémon - Basic,Grass,Promo
Riolu,BW33,Black &amp; White Promos,Pokémon - Basic,Fighting,Promo
Luxio,BW34,Black &amp; White Promos,Pokémon - Stage 1,Lightning,Promo
Meowth,BW35,Black &amp; White Promos,Pokémon - Basic,Colorless,Promo
Reshiram EX,BW36,Black &amp; White Promos,Pokémon - Basic,Fire,Promo
Kyurem-EX,BW37,Black &amp; White Promos,Pokémon - Basic,Water,Promo
Zekrom-EX,BW38,Black &amp; White Promos,Pokémon - Basic,Lightning,Promo
Battle City,BW39,Black &amp; White Promos,Trainer - Stadium,n/a,Promo
Volcarona,BW40,Black &amp; White Promos,Pokémon - Stage 1,Fire,Promo
Thundurus,BW41,Black &amp; White Promos,Pokémon - Basic,Lightning,Promo
Tornadus,BW42,Black &amp; White Promos,Pokémon - Basic,Colorless,Promo
Landorus,BW43,Black &amp; White Promos,Pokémon - Basic,Fighting,Promo
Kyurem,BW44,Black &amp; White Promos,Pokémon - Basic,Water,Promo
Mewtwo-EX,BW45,Black &amp; White Promos,Pokémon - Basic,Psychic,Promo
Darkrai-EX,BW46,Black &amp; White Promos,Pokémon - Basic,Darkness,Promo
Rayquaza-EX,BW47,Black &amp; White Promos,Pokémon - Basic,Dragon,Promo
Altaria,BW48,Black &amp; White Promos,Pokémon - Stage 1,Dragon,Promo
Lilligant,BW49,Black &amp; White Promos,Pokémon - Stage 1,Grass,Promo
Tropical Beach,BW50,Black &amp; White Promos,Trainer - Stadium,n/a,Promo
Crobat,BW51,Black &amp; White Promos,Pokémon - Stage 2,Psychic,Promo
Lillipup,BW52,Black &amp; White Promos,Pokémon - Basic,Colorless,Promo
Flygon,BW53,Black &amp; White Promos,Pokémon - Stage 2,Dragon,Promo
Pikachu,BW54,Black &amp; White Promos,Pokémon - Basic,Lightning,Promo
Elgyem,BW55,Black &amp; White Promos,Pokémon - Basic,Psychic,Promo
Empoleon,BW56,Black &amp; White Promos,Pokémon - Stage 2,Water,Promo
Haxorus,BW57,Black &amp; White Promos,Pokémon - Stage 2,Dragon,Promo
Black Kyurem,BW58,Black &amp; White Promos,Pokémon - Basic,Dragon,Promo
White Kyurem,BW59,Black &amp; White Promos,Pokémon - Basic,Dragon,Promo
Keldeo,BW60,Black &amp; White Promos,Pokémon - Basic,Water,Promo
Keldeo-EX,BW61,Black &amp; White Promos,Pokémon - Basic,Water,Promo
Black Kyurem-EX,BW62,Black &amp; White Promos,Pokémon - Basic,Dragon,Promo
White Kyurem-EX,BW63,Black &amp; White Promos,Pokémon - Basic,Dragon,Promo
Drifblim,BW64,Black &amp; White Promos,Pokémon - Stage 1,Psychic,Promo
Jigglypuff,BW65,Black &amp; White Promos,Pokémon - Basic,Colorless,Promo
Ninetales,BW66,Black &amp; White Promos,Pokémon - Stage 1,Fire,Promo
Ampharos,BW67,Black &amp; White Promos,Pokémon - Stage 2,Lightning,Promo
Meloetta,BW68,Black &amp; White Promos,Pokémon - Basic,Psychic,Promo
Meloetta,BW69,Black &amp; White Promos,Pokémon - Basic,Fighting,Promo
Virizion,BW70,Black &amp; White Promos,Pokémon - Basic,Grass,Promo
Terrakion,BW71,Black &amp; White Promos,Pokémon - Basic,Fighting,Promo
Cobalion,BW72,Black &amp; White Promos,Pokémon - Basic,Metal,Promo
Metagross,BW75,Black &amp; White Promos,Pokémon - Stage 2,Psychic,Promo
Electrode,BW76,Black &amp; White Promos,Pokémon - Stage 1,Lightning,Promo
Landorus,BW79,Black &amp; White Promos,Pokémon - Basic,Fighting,Promo
Druddigon,BW80,Black &amp; White Promos,Pokémon - Basic,Dragon,Promo
Thundurus-EX,BW81,Black &amp; White Promos,Pokémon - Basic,Lightning,Promo
Deoxys-EX,BW82,Black &amp; White Promos,Pokémon - Basic,Psychic,Promo
Lugia-EX,BW83,Black &amp; White Promos,Pokémon - Basic,Colorless,Promo
Porygon-Z,BW84,Black &amp; White Promos,Pokémon - Stage 2,Colorless,Promo
Lucario,BW85,Black &amp; White Promos,Pokémon - Stage 1,Fighting,Promo
Genesect,BW86,Black &amp; White Promos,Pokémon - Basic,Grass,Promo
Champions Festival,BW95,Black &amp; White Promos,Trainer - Stadium,n/a,Promo
Tornadus-EX,BW96,Black &amp; White Promos,Pokémon - Basic,Colorless,Promo
Genesect,BW99,Black &amp; White Promos,Pokémon - Basic,Grass,Promo
