Tornadus,108,Legendary Treasures,Pokémon - Basic,Colorless,Rare Holo
Bianca,109,Legendary Treasures,Trainer - Supporter,n/a,Uncommon
Cedric Juniper,110,Legendary Treasures,Trainer - Supporter,n/a,Uncommon
Crushing Hammer,111,Legendary Treasures,Trainer - Item,n/a,Uncommon
Energy Switch,112,Legendary Treasures,Trainer - Item,n/a,Uncommon
Double Colorless Energy,113,Legendary Treasures,Energy - Special Energy,n/a,Uncommon
Reshiram,114,Legendary Treasures,Pokémon - Basic,Fire,Secret Rare
Zekrom,115,Legendary Treasures,Pokémon - Basic,Lightning,Secret Rare
Snivy,RC1,Legendary Treasures,Pokémon - Basic,Grass,Common
Servine,RC2,Legendary Treasures,Pokémon - Stage 1,Grass,Common
Serperior,RC3,Legendary Treasures,Pokémon - Stage 2,Grass,Uncommon
Growlithe,RC4,Legendary Treasures,Pokémon - Basic,Fire,Uncommon
Torchic,RC5,Legendary Treasures,Pokémon - Basic,Fire,Common
Piplup,RC6,Legendary Treasures,Pokémon - Basic,Water,Uncommon
Pikachu,RC7,Legendary Treasures,Pokémon - Basic,Lightning,Uncommon
Ralts,RC8,Legendary Treasures,Pokémon - Basic,Psychic,Common
Kirlia,RC9,Legendary Treasures,Pokémon - Stage 1,Psychic,Common
Gardevoir,RC10,Legendary Treasures,Pokémon - Stage 2,Psychic,Uncommon
Meloetta-EX,RC11,Legendary Treasures,Pokémon - Basic,Psychic,Ultra Rare
Stunfisk,RC12,Legendary Treasures,Pokémon - Basic,Fighting,Uncommon
Purrloin,RC13,Legendary Treasures,Pokémon - Basic,Darkness,Uncommon
Eevee,RC14,Legendary Treasures,Pokémon - Basic,Colorless,Uncommon
Teddiursa,RC15,Legendary Treasures,Pokémon - Basic,Colorless,Common
Ursaring,RC16,Legendary Treasures,Pokémon - Stage 1,Colorless,Common
Audino,RC17,Legendary Treasures,Pokémon - Basic,Colorless,Common
Minccino,RC18,Legendary Treasures,Pokémon - Basic,Colorless,Common
Cinccino,RC19,Legendary Treasures,Pokémon - Stage 1,Colorless,Uncommon
Elesa,RC20,Legendary Treasures,Trainer - Supporter,n/a,Common
Shaymin-EX,RC21,Legendary Treasures,Pokémon - Basic,Grass,Ultra Rare
Reshiram,RC22,Legendary Treasures,Pokémon - Basic,Fire,Ultra Rare
Emolga,RC23,Legendary Treasures,Pokémon - Basic,Lightning,Ultra Rare
Mew-EX,RC24,Legendary Treasures,Pokémon - Basic,Psychic,Ultra Rare
