id,title,scan_url,card_type_id,card_rarity_id,card_set_id,type_id,card_number,set_raw,card_type_raw,pokemon_type_raw,rarity_raw
18,Dragonair,NULL,0,0,1,0,18,"Base Set","Pokémon - Stage 1",Colorless,Rare
19,Dugtrio,NULL,0,0,1,0,19,"Base Set","Pokémon - Stage 1",Fighting,Rare
20,Electabuzz,NULL,0,0,1,0,20,"Base Set","Pokémon - Basic",Lightning,Rare
21,Electrode,NULL,0,0,1,0,21,"Base Set","Pokémon - Stage 1",Lightning,Rare
22,Pidgeotto,NULL,0,0,1,0,22,"Base Set","Pokémon - Stage 1",Colorless,Rare
23,Arcanine,NULL,0,0,1,0,23,"Base Set","Pokémon - Stage 1",Fire,Uncommon
24,Charmeleon,NULL,0,0,1,0,24,"Base Set","Pokémon - Stage 1",Fire,Uncommon
25,Dewgong,NULL,0,0,1,0,25,"Base Set","Pokémon - Stage 1",Water,Uncommon
26,Dratini,NULL,0,0,1,0,26,"Base Set","Pokémon - Basic",Colorless,Uncommon
27,Farfetch\'d,NULL,0,0,1,0,27,"Base Set","Pokémon - Basic",Colorless,Uncommon
28,Growlithe,NULL,0,0,1,0,28,"Base Set","Pokémon - Basic",Fire,Uncommon
29,Haunter,NULL,0,0,1,0,29,"Base Set","Pokémon - Stage 1",Psychic,Uncommon
30,Ivysaur,NULL,0,0,1,0,30,"Base Set","Pokémon - Stage 1",Grass,Uncommon
31,Jynx,NULL,0,0,1,0,31,"Base Set","Pokémon - Basic",Psychic,Uncommon
32,Kadabra,NULL,0,0,1,0,32,"Base Set","Pokémon - Stage 1",Psychic,Uncommon
33,Kakuna,NULL,0,0,1,0,33,"Base Set","Pokémon - Stage 1",Grass,Uncommon
34,Machoke,NULL,0,0,1,0,34,"Base Set","Pokémon - Stage 1",Fighting,Uncommon
35,Magikarp,NULL,0,0,1,0,35,"Base Set","Pokémon - Basic",Water,Uncommon
36,Magmar,NULL,0,0,1,0,36,"Base Set","Pokémon - Basic",Fire,Uncommon
37,Nidorino,NULL,0,0,1,0,37,"Base Set","Pokémon - Stage 1",Grass,Uncommon
38,Poliwhirl,NULL,0,0,1,0,38,"Base Set","Pokémon - Stage 1",Water,Uncommon
39,Porygon,NULL,0,0,1,0,39,"Base Set","Pokémon - Basic",Colorless,Uncommon
40,Raticate,NULL,0,0,1,0,40,"Base Set","Pokémon - Stage 1",Colorless,Uncommon
41,Seel,NULL,0,0,1,0,41,"Base Set","Pokémon - Basic",Water,Uncommon
42,Wartortle,NULL,0,0,1,0,42,"Base Set","Pokémon - Stage 1",Water,Uncommon
43,Abra,NULL,0,0,1,0,43,"Base Set","Pokémon - Basic",Psychic,Common
44,Bulbasaur,NULL,0,0,1,0,44,"Base Set","Pokémon - Basic",Grass,Common
45,Caterpie,NULL,0,0,1,0,45,"Base Set","Pokémon - Basic",Grass,Common
46,Charmander,NULL,0,0,1,0,46,"Base Set","Pokémon - Basic",Fire,Common
47,Diglett,NULL,0,0,1,0,47,"Base Set","Pokémon - Basic",Fighting,Common
48,Doduo,NULL,0,0,1,0,48,"Base Set","Pokémon - Basic",Colorless,Common
49,Drowzee,NULL,0,0,1,0,49,"Base Set","Pokémon - Basic",Psychic,Common
50,Gastly,NULL,0,0,1,0,50,"Base Set","Pokémon - Basic",Psychic,Common
51,Koffing,NULL,0,0,1,0,51,"Base Set","Pokémon - Basic",Grass,Common
52,Machop,NULL,0,0,1,0,52,"Base Set","Pokémon - Basic",Fighting,Common
53,Magnemite,NULL,0,0,1,0,53,"Base Set","Pokémon - Basic",Lightning,Common
54,Metapod,NULL,0,0,1,0,54,"Base Set","Pokémon - Stage 1",Grass,Common
55,"Nidoran Male",NULL,0,0,1,0,55,"Base Set","Pokémon - Basic",Grass,Common
56,Onix,NULL,0,0,1,0,56,"Base Set","Pokémon - Basic",Fighting,Common
57,Pidgey,NULL,0,0,1,0,57,"Base Set","Pokémon - Basic",Colorless,Common
58,Pikachu,NULL,0,0,1,0,58,"Base Set","Pokémon - Basic",Lightning,Common
59,Poliwag,NULL,0,0,1,0,59,"Base Set","Pokémon - Basic",Water,Common
60,Ponyta,NULL,0,0,1,0,60,"Base Set","Pokémon - Basic",Fire,Common
61,Rattata,NULL,0,0,1,0,61,"Base Set","Pokémon - Basic",Colorless,Common
62,Sandshrew,NULL,0,0,1,0,62,"Base Set","Pokémon - Basic",Fighting,Common
63,Squirtle,NULL,0,0,1,0,63,"Base Set","Pokémon - Basic",Water,Common
64,Starmie,NULL,0,0,1,0,64,"Base Set","Pokémon - Stage 1",Water,Common
65,Staryu,NULL,0,0,1,0,65,"Base Set","Pokémon - Basic",Water,Common
66,Tangela,NULL,0,0,1,0,66,"Base Set","Pokémon - Basic",Grass,Common
67,Voltorb,NULL,0,0,1,0,67,"Base Set","Pokémon - Basic",Lightning,Common
68,Vulpix,NULL,0,0,1,0,68,"Base Set","Pokémon - Basic",Fire,Common
69,Weedle,NULL,0,0,1,0,69,"Base Set","Pokémon - Basic",Grass,Common
70,"Clefairy Doll",NULL,0,0,1,0,70,"Base Set",Trainer,n/a,Rare
71,"Computer Search",NULL,0,0,1,0,71,"Base Set",Trainer,n/a,Rare
72,"Devolution Spray",NULL,0,0,1,0,72,"Base Set",Trainer,n/a,Rare
73,"Imposter Professor Oak",NULL,0,0,1,0,73,"Base Set",Trainer,n/a,Rare
74,"Item Finder",NULL,0,0,1,0,74,"Base Set",Trainer,n/a,Rare
75,Lass,NULL,0,0,1,0,75,"Base Set",Trainer,n/a,Rare
76,"Pokémon Breeder",NULL,0,0,1,0,76,"Base Set",Trainer,n/a,Rare
77,"Pokémon Trader",NULL,0,0,1,0,77,"Base Set",Trainer,n/a,Rare
78,"Scoop Up",NULL,0,0,1,0,78,"Base Set",Trainer,n/a,Rare
79,"Super Energy Removal",NULL,0,0,1,0,79,"Base Set",Trainer,n/a,Rare
80,Defender,NULL,0,0,1,0,80,"Base Set",Trainer,n/a,Uncommon
81,"Energy Retrieval",NULL,0,0,1,0,81,"Base Set",Trainer,n/a,Uncommon
82,"Full Heal",NULL,0,0,1,0,82,"Base Set",Trainer,n/a,Uncommon
83,Maintenance,NULL,0,0,1,0,83,"Base Set",Trainer,n/a,Uncommon
84,PlusPower,NULL,0,0,1,0,84,"Base Set",Trainer,n/a,Uncommon
85,"Pokémon Center",NULL,0,0,1,0,85,"Base Set",Trainer,n/a,Uncommon
86,"Pokémon Flute",NULL,0,0,1,0,86,"Base Set",Trainer,n/a,Uncommon
87,Pokédex,NULL,0,0,1,0,87,"Base Set",Trainer,n/a,Uncommon
88,"Professor Oak",NULL,0,0,1,0,88,"Base Set",Trainer,n/a,Uncommon
89,Revive,NULL,0,0,1,0,89,"Base Set",Trainer,n/a,Uncommon
90,"Super Potion",NULL,0,0,1,0,90,"Base Set",Trainer,n/a,Uncommon
91,Bill,NULL,0,0,1,0,91,"Base Set",Trainer,n/a,Common
92,"Energy Removal",NULL,0,0,1,0,92,"Base Set",Trainer,n/a,Common
93,"Gust of Wind",NULL,0,0,1,0,93,"Base Set",Trainer,n/a,Common
94,Potion,NULL,0,0,1,0,94,"Base Set",Trainer,n/a,Common
95,Switch,NULL,0,0,1,0,95,"Base Set",Trainer,n/a,Common
96,"Double Colorless Energy",NULL,0,0,1,0,96,"Base Set","Energy - Special Energy",n/a,Uncommon
97,"Fighting Energy",NULL,0,0,1,0,97,"Base Set","Energy - Basic Energy",n/a,Common
98,"Fire Energy",NULL,0,0,1,0,98,"Base Set","Energy - Basic Energy",n/a,Common
99,"Grass Energy",NULL,0,0,1,0,99,"Base Set","Energy - Basic Energy",n/a,Common
100,"Lightning Energy",NULL,0,0,1,0,100,"Base Set","Energy - Basic Energy",n/a,Common
101,"Psychic Energy",NULL,0,0,1,0,101,"Base Set","Energy - Basic Energy",n/a,Common
102,Clefable,NULL,0,0,0,0,1,Jungle,"Pokémon - Stage 1",Colorless,"Rare Holo"
103,Electrode,NULL,0,0,0,0,2,Jungle,"Pokémon - Stage 1",Lightning,"Rare Holo"
104,Flareon,NULL,0,0,0,0,3,Jungle,"Pokémon - Stage 1",Fire,"Rare Holo"
105,Jolteon,NULL,0,0,0,0,4,Jungle,"Pokémon - Stage 1",Lightning,"Rare Holo"
106,Kangaskhan,NULL,0,0,0,0,5,Jungle,"Pokémon - Basic",Colorless,"Rare Holo"
107,"Mr. Mime",NULL,0,0,0,0,6,Jungle,"Pokémon - Basic",Psychic,"Rare Holo"
108,Nidoqueen,NULL,0,0,0,0,7,Jungle,"Pokémon - Stage 2",Grass,"Rare Holo"
109,Pidgeot,NULL,0,0,0,0,8,Jungle,"Pokémon - Stage 2",Colorless,"Rare Holo"
110,Pinsir,NULL,0,0,0,0,9,Jungle,"Pokémon - Basic",Grass,"Rare Holo"
111,Scyther,NULL,0,0,0,0,10,Jungle,"Pokémon - Basic",Grass,"Rare Holo"
112,Snorlax,NULL,0,0,0,0,11,Jungle,"Pokémon - Basic",Colorless,"Rare Holo"
113,Vaporeon,NULL,0,0,0,0,12,Jungle,"Pokémon - Stage 1",Water,Rare
114,Venomoth,NULL,0,0,0,0,13,Jungle,"Pokémon - Stage 1",Grass,"Rare Holo"
115,Victreebel,NULL,0,0,0,0,14,Jungle,"Pokémon - Stage 1",Grass,"Rare Holo"
116,Vileplume,NULL,0,0,0,0,15,Jungle,"Pokémon - Stage 2",Grass,"Rare Holo"
117,Wigglytuff,NULL,0,0,0,0,16,Jungle,"Pokémon - Stage 1",Colorless,"Rare Holo"
118,Clefable,NULL,0,0,0,0,17,Jungle,"Pokémon - Stage 1",Colorless,Rare
119,Electrode,NULL,0,0,0,0,18,Jungle,"Pokémon - Stage 1",Lightning,Rare
120,Flareon,NULL,0,0,0,0,19,Jungle,"Pokémon - Stage 1",Fire,Rare
121,Jolteon,NULL,0,0,0,0,20,Jungle,"Pokémon - Stage 1",Lightning,Rare
122,Kangaskhan,NULL,0,0,0,0,21,Jungle,"Pokémon - Basic",Colorless,Rare
123,"Mr. Mime",NULL,0,0,0,0,22,Jungle,"Pokémon - Basic",Psychic,Rare
124,Nidoqueen,NULL,0,0,0,0,23,Jungle,"Pokémon - Stage 2",Grass,Rare
125,Pidgeot,NULL,0,0,0,0,24,Jungle,"Pokémon - Stage 2",Colorless,Rare
126,Pinsir,NULL,0,0,0,0,25,Jungle,"Pokémon - Basic",Grass,Rare
127,Scyther,NULL,0,0,0,0,26,Jungle,"Pokémon - Basic",Grass,Rare
128,Snorlax,NULL,0,0,0,0,27,Jungle,"Pokémon - Basic",Colorless,Rare
129,Vaporeon,NULL,0,0,0,0,28,Jungle,"Pokémon - Stage 1",Water,Rare
130,Venomoth,NULL,0,0,0,0,29,Jungle,"Pokémon - Stage 1",Grass,Rare
131,Victreebel,NULL,0,0,0,0,30,Jungle,"Pokémon - Stage 1",Grass,Rare
132,Vileplume,NULL,0,0,0,0,31,Jungle,"Pokémon - Stage 2",Grass,Rare
133,Wigglytuff,NULL,0,0,0,0,32,Jungle,"Pokémon - Stage 1",Colorless,Rare
134,Butterfree,NULL,0,0,0,0,33,Jungle,"Pokémon - Stage 2",Grass,Uncommon
135,Dodrio,NULL,0,0,0,0,34,Jungle,"Pokémon - Stage 1",Colorless,Uncommon
136,Exeggutor,NULL,0,0,0,0,35,Jungle,"Pokémon - Stage 1",Grass,Uncommon
137,Fearow,NULL,0,0,0,0,36,Jungle,"Pokémon - Stage 1",Colorless,Uncommon
138,Gloom,NULL,0,0,0,0,37,Jungle,"Pokémon - Stage 1",Grass,Uncommon
139,Lickitung,NULL,0,0,0,0,38,Jungle,"Pokémon - Basic",Colorless,Uncommon
140,Marowak,NULL,0,0,0,0,39,Jungle,"Pokémon - Stage 1",Fighting,Uncommon
141,Nidorina,NULL,0,0,0,0,40,Jungle,"Pokémon - Stage 1",Grass,Uncommon
142,Parasect,NULL,0,0,0,0,41,Jungle,"Pokémon - Stage 1",Grass,Uncommon
143,Persian,NULL,0,0,0,0,42,Jungle,"Pokémon - Stage 1",Colorless,Uncommon
144,Primeape,NULL,0,0,0,0,43,Jungle,"Pokémon - Stage 1",Fighting,Uncommon
145,Rapidash,NULL,0,0,0,0,44,Jungle,"Pokémon - Stage 1",Fire,Uncommon
146,Rhydon,NULL,0,0,0,0,45,Jungle,"Pokémon - Stage 1",Fighting,Uncommon
147,Seaking,NULL,0,0,0,0,46,Jungle,"Pokémon - Stage 1",Water,Uncommon
148,Tauros,NULL,0,0,0,0,47,Jungle,"Pokémon - Basic",Colorless,Uncommon
149,Weepinbell,NULL,0,0,0,0,48,Jungle,"Pokémon - Stage 1",Grass,Uncommon
150,Bellsprout,NULL,0,0,0,0,49,Jungle,"Pokémon - Basic",Grass,Common
151,Cubone,NULL,0,0,0,0,50,Jungle,"Pokémon - Basic",Fighting,Common
152,Eevee,NULL,0,0,0,0,51,Jungle,"Pokémon - Basic",Colorless,Common
153,Exeggcute,NULL,0,0,0,0,52,Jungle,"Pokémon - Basic",Grass,Common
154,Goldeen,NULL,0,0,0,0,53,Jungle,"Pokémon - Basic",Water,Common
155,Jigglypuff,NULL,0,0,0,0,54,Jungle,"Pokémon - Basic",Colorless,Common
156,Mankey,NULL,0,0,0,0,55,Jungle,"Pokémon - Basic",Fighting,Common
157,Meowth,NULL,0,0,0,0,56,Jungle,"Pokémon - Basic",Colorless,Common
158,"Nidoran Female",NULL,0,0,0,0,57,Jungle,"Pokémon - Basic",Grass,Common
159,Oddish,NULL,0,0,0,0,58,Jungle,"Pokémon - Basic",Grass,Common
160,Paras,NULL,0,0,0,0,59,Jungle,"Pokémon - Basic",Grass,Common
161,Pikachu,NULL,0,0,0,0,60,Jungle,"Pokémon - Basic",Lightning,Common
162,Rhyhorn,NULL,0,0,0,0,61,Jungle,"Pokémon - Basic",Fighting,Common
163,Spearow,NULL,0,0,0,0,62,Jungle,"Pokémon - Basic",Colorless,Common
164,Venonat,NULL,0,0,0,0,63,Jungle,"Pokémon - Basic",Grass,Common
165,Aerodactyl,NULL,0,0,0,0,1,Fossil,"Pokémon - Stage 1",Fighting,"Rare Holo"
166,Articuno,NULL,0,0,0,0,2,Fossil,"Pokémon - Basic",Water,"Rare Holo"
167,Ditto,NULL,0,0,0,0,3,Fossil,"Pokémon - Basic",Colorless,"Rare Holo"
168,Dragonite,NULL,0,0,0,0,4,Fossil,"Pokémon - Stage 2",Colorless,"Rare Holo"
169,Gengar,NULL,0,0,0,0,5,Fossil,"Pokémon - Stage 2",Psychic,"Rare Holo"
170,Haunter,NULL,0,0,0,0,6,Fossil,"Pokémon - Stage 1",Psychic,"Rare Holo"
171,Hitmonlee,NULL,0,0,0,0,7,Fossil,"Pokémon - Basic",Fighting,"Rare Holo"
172,Hypno,NULL,0,0,0,0,8,Fossil,"Pokémon - Stage 1",Psychic,"Rare Holo"
173,Kabutops,NULL,0,0,0,0,9,Fossil,"Pokémon - Stage 2",Fighting,"Rare Holo"
174,Lapras,NULL,0,0,0,0,10,Fossil,"Pokémon - Basic",Water,"Rare Holo"
175,Magneton,NULL,0,0,0,0,11,Fossil,"Pokémon - Stage 1",Lightning,"Rare Holo"
176,Moltres,NULL,0,0,0,0,12,Fossil,"Pokémon - Basic",Fire,"Rare Holo"
177,Muk,NULL,0,0,0,0,13,Fossil,"Pokémon - Stage 1",Grass,"Rare Holo"
178,Raichu,NULL,0,0,0,0,14,Fossil,"Pokémon - Stage 1",Lightning,"Rare Holo"
179,Zapdos,NULL,0,0,0,0,15,Fossil,"Pokémon - Basic",Lightning,"Rare Holo"
180,Aerodactyl,NULL,0,0,0,0,16,Fossil,"Pokémon - Stage 1",Fighting,Rare
181,Articuno,NULL,0,0,0,0,17,Fossil,"Pokémon - Basic",Water,Rare
182,Ditto,NULL,0,0,0,0,18,Fossil,"Pokémon - Basic",Colorless,Rare
183,Dragonite,NULL,0,0,0,0,19,Fossil,"Pokémon - Stage 2",Colorless,Rare
184,Gengar,NULL,0,0,0,0,20,Fossil,"Pokémon - Stage 2",Psychic,Rare
185,Haunter,NULL,0,0,0,0,21,Fossil,"Pokémon - Stage 1",Psychic,Rare
186,Hitmonlee,NULL,0,0,0,0,22,Fossil,"Pokémon - Basic",Fighting,Rare
187,Hypno,NULL,0,0,0,0,23,Fossil,"Pokémon - Stage 1",Psychic,Rare
188,Kabutops,NULL,0,0,0,0,24,Fossil,"Pokémon - Stage 2",Fighting,Rare
189,Lapras,NULL,0,0,0,0,25,Fossil,"Pokémon - Basic",Water,Rare
190,Magneton,NULL,0,0,0,0,26,Fossil,"Pokémon - Stage 1",Lightning,Rare
191,Moltres,NULL,0,0,0,0,27,Fossil,"Pokémon - Basic",Fire,Rare
192,Muk,NULL,0,0,0,0,28,Fossil,"Pokémon - Stage 1",Grass,Rare
193,Raichu,NULL,0,0,0,0,29,Fossil,"Pokémon - Stage 1",Lightning,Rare
194,Zapdos,NULL,0,0,0,0,30,Fossil,"Pokémon - Basic",Lightning,Rare
195,Arbok,NULL,0,0,0,0,31,Fossil,"Pokémon - Stage 1",Grass,Uncommon
196,Cloyster,NULL,0,0,0,0,32,Fossil,"Pokémon - Stage 1",Water,Uncommon
197,Gastly,NULL,0,0,0,0,33,Fossil,"Pokémon - Basic",Psychic,Uncommon
198,Golbat,NULL,0,0,0,0,34,Fossil,"Pokémon - Stage 1",Grass,Uncommon
199,Golduck,NULL,0,0,0,0,35,Fossil,"Pokémon - Stage 1",Water,Uncommon
200,Golem,NULL,0,0,0,0,36,Fossil,"Pokémon - Stage 2",Fighting,Uncommon
201,Graveler,NULL,0,0,0,0,37,Fossil,"Pokémon - Stage 1",Fighting,Uncommon
202,Kingler,NULL,0,0,0,0,38,Fossil,"Pokémon - Stage 1",Water,Uncommon
203,Magmar,NULL,0,0,0,0,39,Fossil,"Pokémon - Basic",Fire,Uncommon
204,Omastar,NULL,0,0,0,0,40,Fossil,"Pokémon - Stage 2",Water,Uncommon
205,Sandslash,NULL,0,0,0,0,41,Fossil,"Pokémon - Stage 1",Fighting,Uncommon
206,Seadra,NULL,0,0,0,0,42,Fossil,"Pokémon - Stage 1",Water,Uncommon
207,Slowbro,NULL,0,0,0,0,43,Fossil,"Pokémon - Stage 1",Psychic,Uncommon
208,Tentacruel,NULL,0,0,0,0,44,Fossil,"Pokémon - Stage 1",Water,Uncommon
209,Weezing,NULL,0,0,0,0,45,Fossil,"Pokémon - Stage 1",Grass,Uncommon
210,Ekans,NULL,0,0,0,0,46,Fossil,"Pokémon - Basic",Grass,Common
211,Geodude,NULL,0,0,0,0,47,Fossil,"Pokémon - Basic",Fighting,Common
212,Grimer,NULL,0,0,0,0,48,Fossil,"Pokémon - Basic",Grass,Common
213,Horsea,NULL,0,0,0,0,49,Fossil,"Pokémon - Basic",Water,Common
214,Kabuto,NULL,0,0,0,0,50,Fossil,"Pokémon - Stage 1",Fighting,Common
215,Krabby,NULL,0,0,0,0,51,Fossil,"Pokémon - Basic",Water,Common
216,Omanyte,NULL,0,0,0,0,52,Fossil,"Pokémon - Stage 1",Water,Common
217,Psyduck,NULL,0,0,0,0,53,Fossil,"Pokémon - Basic",Water,Common
218,Shellder,NULL,0,0,0,0,54,Fossil,"Pokémon - Basic",Water,Common
219,Slowpoke,NULL,0,0,0,0,55,Fossil,"Pokémon - Basic",Psychic,Common
220,Tentacool,NULL,0,0,0,0,56,Fossil,"Pokémon - Basic",Water,Common
221,Zubat,NULL,0,0,0,0,57,Fossil,"Pokémon - Basic",Grass,Common
222,"Mr. Fuji",NULL,0,0,0,0,58,Fossil,Trainer,n/a,Uncommon
223,"Energy Search",NULL,0,0,0,0,59,Fossil,Trainer,n/a,Common
224,Gambler,NULL,0,0,0,0,60,Fossil,Trainer,n/a,Common
225,Recycle,NULL,0,0,0,0,61,Fossil,Trainer,n/a,Common
226,Alakazam,NULL,0,0,0,0,1,"Base Set 2","Pokémon - Stage 2",Psychic,"Rare Holo"
227,Blastoise,NULL,0,0,0,0,2,"Base Set 2","Pokémon - Stage 2",Water,"Rare Holo"
228,Chansey,NULL,0,0,0,0,3,"Base Set 2","Pokémon - Basic",Colorless,"Rare Holo"
229,Charizard,NULL,0,0,0,0,4,"Base Set 2","Pokémon - Stage 2",Fire,"Rare Holo"
230,Clefable,NULL,0,0,0,0,5,"Base Set 2","Pokémon - Stage 1",Colorless,"Rare Holo"
231,Clefairy,NULL,0,0,0,0,6,"Base Set 2","Pokémon - Basic",Colorless,"Rare Holo"
232,Gyarados,NULL,0,0,0,0,7,"Base Set 2","Pokémon - Stage 1",Water,"Rare Holo"
233,Hitmonchan,NULL,0,0,0,0,8,"Base Set 2","Pokémon - Basic",Fighting,"Rare Holo"
234,Magneton,NULL,0,0,0,0,9,"Base Set 2","Pokémon - Stage 1",Lightning,"Rare Holo"
235,Mewtwo,NULL,0,0,0,0,10,"Base Set 2","Pokémon - Basic",Psychic,"Rare Holo"
236,Nidoking,NULL,0,0,0,0,11,"Base Set 2","Pokémon - Stage 2",Grass,"Rare Holo"
237,Nidoqueen,NULL,0,0,0,0,12,"Base Set 2","Pokémon - Stage 2",Grass,"Rare Holo"
238,Ninetales,NULL,0,0,0,0,13,"Base Set 2","Pokémon - Stage 1",Fire,"Rare Holo"
239,Pidgeot,NULL,0,0,0,0,14,"Base Set 2","Pokémon - Stage 2",Colorless,"Rare Holo"
240,Poliwrath,NULL,0,0,0,0,15,"Base Set 2","Pokémon - Stage 2",Water,"Rare Holo"
241,Raichu,NULL,0,0,0,0,16,"Base Set 2","Pokémon - Stage 1",Lightning,"Rare Holo"
242,Scyther,NULL,0,0,0,0,17,"Base Set 2","Pokémon - Basic",Grass,"Rare Holo"
243,Venusaur,NULL,0,0,0,0,18,"Base Set 2","Pokémon - Stage 2",Grass,"Rare Holo"
244,Wigglytuff,NULL,0,0,0,0,19,"Base Set 2","Pokémon - Stage 1",Colorless,"Rare Holo"
245,Zapdos,NULL,0,0,0,0,20,"Base Set 2","Pokémon - Basic",Lightning,"Rare Holo"
246,Beedrill,NULL,0,0,0,0,21,"Base Set 2","Pokémon - Stage 2",Grass,Rare
247,Dragonair,NULL,0,0,0,0,22,"Base Set 2","Pokémon - Stage 1",Colorless,Rare
248,Dugtrio,NULL,0,0,0,0,23,"Base Set 2","Pokémon - Stage 1",Fighting,Rare
249,Electabuzz,NULL,0,0,0,0,24,"Base Set 2","Pokémon - Basic",Lightning,Rare
250,Electrode,NULL,0,0,0,0,25,"Base Set 2","Pokémon - Stage 1",Lightning,Rare
251,Kangaskhan,NULL,0,0,0,0,26,"Base Set 2","Pokémon - Basic",Colorless,Rare
252,"Mr. Mime",NULL,0,0,0,0,27,"Base Set 2","Pokémon - Basic",Psychic,Rare
253,Pidgeotto,NULL,0,0,0,0,28,"Base Set 2","Pokémon - Stage 1",Colorless,Rare
254,Pinsir,NULL,0,0,0,0,29,"Base Set 2","Pokémon - Basic",Grass,Rare
255,Snorlax,NULL,0,0,0,0,30,"Base Set 2","Pokémon - Basic",Colorless,Rare
256,Venomoth,NULL,0,0,0,0,31,"Base Set 2","Pokémon - Stage 1",Grass,Rare
257,Victreebel,NULL,0,0,0,0,32,"Base Set 2","Pokémon - Stage 2",Grass,Rare
258,Arcanine,NULL,0,0,0,0,33,"Base Set 2","Pokémon - Stage 1",Fire,Uncommon
259,Butterfree,NULL,0,0,0,0,34,"Base Set 2","Pokémon - Stage 2",Grass,Uncommon
260,Charmeleon,NULL,0,0,0,0,35,"Base Set 2","Pokémon - Stage 1",Fire,Uncommon
261,Dewgong,NULL,0,0,0,0,36,"Base Set 2","Pokémon - Stage 1",Water,Uncommon
262,Dodrio,NULL,0,0,0,0,37,"Base Set 2","Pokémon - Stage 1",Colorless,Uncommon
263,Dratini,NULL,0,0,0,0,38,"Base Set 2","Pokémon - Basic",Colorless,Uncommon
264,Exeggutor,NULL,0,0,0,0,39,"Base Set 2","Pokémon - Stage 1",Grass,Uncommon
265,Farfetch\'d,NULL,0,0,0,0,40,"Base Set 2","Pokémon - Basic",Colorless,Uncommon
266,Fearow,NULL,0,0,0,0,41,"Base Set 2","Pokémon - Stage 1",Colorless,Uncommon
267,Growlithe,NULL,0,0,0,0,42,"Base Set 2","Pokémon - Basic",Fire,Uncommon
268,Haunter,NULL,0,0,0,0,43,"Base Set 2","Pokémon - Stage 1",Psychic,Uncommon
269,Ivysaur,NULL,0,0,0,0,44,"Base Set 2","Pokémon - Stage 1",Grass,Uncommon
270,Jynx,NULL,0,0,0,0,45,"Base Set 2","Pokémon - Basic",Psychic,Uncommon
271,Kadabra,NULL,0,0,0,0,46,"Base Set 2","Pokémon - Stage 1",Psychic,Uncommon
272,Kakuna,NULL,0,0,0,0,47,"Base Set 2","Pokémon - Stage 1",Grass,Uncommon
273,Lickitung,NULL,0,0,0,0,48,"Base Set 2","Pokémon - Basic",Colorless,Uncommon
274,Machoke,NULL,0,0,0,0,49,"Base Set 2","Pokémon - Stage 1",Fighting,Uncommon
275,Magikarp,NULL,0,0,0,0,50,"Base Set 2","Pokémon - Basic",Water,Uncommon
276,Magmar,NULL,0,0,0,0,51,"Base Set 2","Pokémon - Basic",Fire,Uncommon
277,Marowak,NULL,0,0,0,0,52,"Base Set 2","Pokémon - Stage 1",Fighting,Uncommon
278,Nidorina,NULL,0,0,0,0,53,"Base Set 2","Pokémon - Stage 1",Grass,Uncommon
279,Nidorino,NULL,0,0,0,0,54,"Base Set 2","Pokémon - Stage 1",Grass,Uncommon
280,Parasect,NULL,0,0,0,0,55,"Base Set 2","Pokémon - Stage 1",Grass,Uncommon
281,Persian,NULL,0,0,0,0,56,"Base Set 2","Pokémon - Stage 1",Colorless,Uncommon
282,Poliwhirl,NULL,0,0,0,0,57,"Base Set 2","Pokémon - Stage 1",Water,Uncommon
283,Raticate,NULL,0,0,0,0,58,"Base Set 2","Pokémon - Stage 1",Colorless,Uncommon
